'Date Rptd','DATE OCC',Mocodes,'Vict Age','Vict Sex','Vict Descent','Premis Cd','Weapon Used Cd',Status,'Crm Cd'
'1/20/23 0:00','1/20/23 0:00','0344 0416 1218 2004',70,M,H,108,400,IC,2
'8/6/23 0:00','8/5/23 0:00','1822 0344',35,M,W,109,400,IC,3
'5/6/22 0:00','5/5/22 0:00','1234 0305 0444 0429 0400 0344 1822',36,M,W,102,400,IC,2
'3/19/22 0:00','3/19/22 0:00','2004 0325 0601',36,M,H,404,400,IC,4
'7/23/23 0:00','7/23/23 0:00','0913 0400 1810',33,F,W,501,400,IC,7
'11/1/23 0:00','11/1/23 0:00','0913 1607 0558',40,F,H,501,400,AA,3
'10/13/22 0:00','10/3/22 0:00','0400 0522 2024 1258 0500 0913 1824 1815 1251',13,F,W,720,400,JO,9
'2/26/24 0:00','2/23/24 0:00','0325 0209',36,M,H,403,400,IC,4
'2/28/24 0:00','2/27/24 0:00','1822 0344 0416',36,M,H,402,400,AA,2
'2/4/22 0:00','1/29/22 0:00','0344 1822 1501 1300',51,M,W,501,400,IC,3
'2/3/23 0:00','2/1/23 0:00','0321 1822 1300',80,M,W,104,400,IC,10
'2/2/23 0:00','2/2/23 0:00','1609 0325 1402',36,M,H,203,311,IC,3
'9/25/23 0:00','9/24/23 0:00',344,36,M,H,108,400,IC,5
'1/20/20 0:00','1/16/20 0:00',344,53,M,W,101,400,IC,3
'3/2/20 0:00','3/2/20 0:00','1300 1822 2004 1414 1310',35,M,W,101,306,IC,7
'1/5/23 0:00','1/5/23 0:00','0416 0919',27,M,H,108,400,IC,7
'5/24/23 0:00','5/24/23 0:00','0913 0334 0421 0432 0603 0361',20,F,H,102,204,AA,8
'2/19/23 0:00','5/2/22 0:00','0416 0432 0913 1814 2000',39,F,H,502,400,IC,7
'1/21/20 0:00','1/21/20 0:00','0913 0302 0443 1259 2000 1251 1814',15,F,H,101,109,IC,2
'12/7/22 0:00','12/7/22 0:00','0430 1822 0906 1100',31,M,H,502,106,IC,2
'1/22/20 0:00','1/22/20 0:00','0913 1814 0329',51,F,O,501,400,IC,8
'1/30/23 0:00','1/29/23 0:00','1100 1407 0906 1822',51,M,H,501,106,IC,2
'4/20/22 0:00','4/20/22 0:00','0400 0421 0334 1822 1501 0903 2055 1516',36,M,H,102,509,IC,10
'10/16/21 0:00','10/16/21 0:00','1822 0400 1501',36,F,B,102,400,IC,7
'7/2/24 0:00','7/2/24 0:00','1822 0325',36,M,W,405,400,IC,4
'2/13/24 0:00','2/4/24 0:00','1822 0344',55,F,O,212,500,IC,3
'9/1/21 0:00','8/31/21 0:00','1822 0344 1420',52,M,O,118,400,IC,5
'1/1/24 0:00','1/1/24 0:00','1822 2038',70,M,A,501,400,IC,10
'7/24/24 0:00','7/23/24 0:00','0344 0385 1822',49,F,H,501,400,IC,3
'1/18/24 0:00','1/18/24 0:00','0416 0446',43,M,H,505,400,IC,7
'4/3/23 0:00','4/2/23 0:00','0344 1420',36,M,H,404,400,IC,3
'7/25/24 0:00','7/21/24 0:00',344,36,M,H,407,400,IC,4
'10/9/23 0:00','10/9/23 0:00','0325 0344 1822',23,F,B,405,400,IC,4
'3/9/24 0:00','3/8/24 0:00','1609 1302',33,F,B,101,400,IC,5
'6/22/20 0:00','6/22/20 0:00','0329 0913',36,M,H,519,400,IC,8
'4/11/23 0:00','4/11/23 0:00','1822 0302 2060',27,M,H,158,102,IC,2
'9/8/21 0:00','9/7/21 0:00',344,36,M,H,101,400,IC,5
'4/11/22 0:00','4/5/22 0:00',443,46,M,H,501,511,AO,10
'1/31/20 0:00','1/25/20 0:00','0329 0311',42,M,O,710,400,IC,8
'9/20/22 0:00','9/20/22 0:00',344,36,M,H,101,400,IC,5
'8/2/23 0:00','8/2/23 0:00',344,60,M,W,501,400,IC,10
'10/31/20 0:00','10/31/20 0:00',329,36,M,H,203,400,IC,8
'11/21/20 0:00','11/21/20 0:00','0906 1822 0302 0400 1300 0334 0416',40,M,H,102,102,IC,2
'2/20/22 0:00','2/19/22 0:00','1309 0334 0312 0443 0344 1822 0213 0305 0916 0342',23,M,H,101,109,IC,2
'5/28/23 0:00','5/7/23 0:00','0325 1822',36,M,H,416,400,IC,3
'6/6/23 0:00','6/6/23 0:00','0100 1822 0928 1202',66,M,W,501,400,IC,3
'12/10/20 0:00','12/9/20 0:00','0419 0416',18,F,B,108,400,AO,7
'10/2/22 0:00','10/2/22 0:00','1814 0421',56,F,H,101,511,IC,10
'3/16/22 0:00','3/15/22 0:00','1218 1822 2034 0416',44,F,W,102,500,IC,2
'9/15/22 0:00','9/2/22 0:00',344,54,F,H,501,400,IC,3
'2/16/22 0:00','2/16/22 0:00','0329 2004',36,M,H,721,400,IC,8
'11/22/22 0:00','11/20/22 0:00',344,36,M,H,101,400,IC,5
'8/26/20 0:00','8/3/20 0:00','0344 1606 0321',30,F,W,108,400,IC,4
'10/3/21 0:00','10/3/21 0:00','2000 0416',31,F,H,101,400,AO,7
'4/5/21 0:00','4/2/21 0:00','1300 1605 1822 0344',26,M,C,707,400,IC,3
'3/25/23 0:00','3/1/23 0:00',344,36,M,H,101,400,IC,4
'3/17/20 0:00','3/15/20 0:00',344,36,M,H,101,400,IC,5
'5/19/22 0:00','5/18/22 0:00','0906 0411 0342 1822 0334 0446 1206 0445 0344 0429',33,M,H,101,200,IC,2
'11/18/23 0:00','11/18/23 0:00','0416 1822 1309 0400',22,M,W,108,307,AO,2
'11/14/20 0:00','11/13/20 0:00',1607,29,M,W,101,400,IC,3
'11/6/22 0:00','11/6/22 0:00','0906 0450 1822',36,F,H,101,106,IC,2
'7/10/21 0:00','7/9/21 0:00','2000 0416 0444 1814',28,M,B,503,400,IC,7
'5/2/21 0:00','5/2/21 0:00','0400 0416 1300 1814 2000 0913',29,F,B,101,400,IC,7
'6/12/23 0:00','6/12/23 0:00',344,36,M,H,104,400,AA,5
'5/1/20 0:00','5/1/20 0:00','2004 0444 0429',58,F,H,108,400,AA,7
'2/27/24 0:00','2/9/24 0:00','0325 0104 0344',36,M,H,404,400,IC,4
'3/6/24 0:00','3/6/24 0:00','2038 1906 1813 0913',39,F,H,104,400,IC,10
'9/5/23 0:00','9/5/23 0:00','0344 0385 1309 0302 1822',45,M,W,104,500,IC,2
'5/8/22 0:00','5/1/22 0:00','0100 0922',40,F,H,501,400,IC,3
'2/17/22 0:00','2/14/22 0:00','1218 1822 0344 0400',31,M,H,102,400,IC,3
'2/22/22 0:00','2/22/22 0:00','1822 1100 0329',36,M,H,203,107,AA,2
'1/28/23 0:00','1/28/23 0:00','0378 0325 0344 1309 0326',36,F,H,405,400,IC,3
'8/6/22 0:00','8/6/22 0:00','0701 0800 0344 1822',24,F,O,502,400,IC,7
'5/19/20 0:00','5/19/20 0:00','1822 1309 0448 0522',32,F,B,101,400,AA,9
'1/28/24 0:00','1/28/24 0:00','0913 0416 0906 0554 0444 0446 0400',35,M,H,502,400,AO,2
'4/20/24 0:00','4/20/24 0:00','0358 1822 2018',32,M,W,213,400,IC,3
'8/1/20 0:00','7/31/20 0:00','1822 1609 0358 0321 0201 1307 0378',36,M,H,203,400,IC,3
'6/26/20 0:00','5/29/20 0:00','0913 0305 0400 0500 0522 1804',51,F,H,405,400,AO,9
