'Date Rptd','DATE OCC',Mocodes,'Vict Age','Vict Sex','Vict Descent','Premis Cd','Weapon Used Cd',Status,'Crm Cd'
'7/1/23 0:00','6/22/23 0:00',344,36,M,H,108,400,IC,5
'4/13/23 0:00','4/13/23 0:00','2038 0913',21,F,W,501,400,AA,10
'1/2/23 0:00','1/2/23 0:00','0344 1300',27,M,H,101,400,IC,3
'8/10/22 0:00','8/10/22 0:00','1501 2004',36,M,H,101,400,IC,10
'7/13/21 0:00','7/13/21 0:00','0400 1814 2000 0408 0429 1243 1276',26,F,B,505,400,AO,2
'2/14/21 0:00','2/7/21 0:00',344,36,M,H,101,400,IC,4
'7/22/21 0:00','6/29/21 0:00','0394 1822',41,F,W,501,400,IC,4
'7/29/21 0:00','7/27/21 0:00','0344 0216 1822 1402 1420',36,M,H,710,400,IC,3
'7/20/20 0:00','7/19/20 0:00','1300 1307 0344',32,M,H,701,400,IC,3
'3/4/22 0:00','3/2/22 0:00','0344 1300',37,M,B,707,400,IC,3
'7/4/21 0:00','7/4/21 0:00','0352 0334 1822 2024 0445 1313 0416 0446 0336 0344',16,F,H,101,304,IC,2
'1/31/24 0:00','1/30/24 0:00','0329 1300',35,F,B,122,400,IC,8
'1/30/22 0:00','1/30/22 0:00','0913 0416',51,F,B,501,302,IC,2
'9/25/20 0:00','9/24/20 0:00','0321 0386 0344',26,M,H,101,400,IC,3
'1/26/23 0:00','1/26/23 0:00',1501,36,M,H,101,400,AA,10
'3/5/24 0:00','3/5/24 0:00','0448 0400',59,F,B,502,400,AO,7
'8/13/23 0:00','8/13/23 0:00',344,36,M,H,101,400,IC,5
'6/2/23 0:00','6/2/23 0:00','0329 0445 1822 1300 1310 1253',34,M,H,101,500,IC,8
'11/24/22 0:00','11/24/22 0:00','0913 1814 2000 2004 0334 2038',21,F,H,503,102,AA,8
'8/10/22 0:00','8/10/22 0:00','0701 0800 0344',27,F,B,501,400,IC,7
'2/14/23 0:00','1/23/23 0:00','1822 0342 0800 0701 1309',41,F,H,502,400,IC,7
'3/13/21 0:00','3/13/21 0:00','2004 1402',36,F,O,108,400,IC,4
'3/12/21 0:00','3/6/21 0:00','0344 1822',49,M,W,503,400,IC,3
'12/30/22 0:00','12/29/22 0:00',344,36,M,H,101,400,IC,5
'7/22/21 0:00','7/19/21 0:00','1822 0930',23,F,W,501,400,IC,3
'12/20/22 0:00','12/19/22 0:00','1300 1822 0344 0321 1606',53,F,W,104,400,IC,4
'12/7/22 0:00','12/6/22 0:00','1300 0334 0355 1822',32,F,H,108,200,IC,2
'2/20/23 0:00','2/20/23 0:00','1100 1407',36,M,H,203,102,IC,2
'11/5/22 0:00','11/2/22 0:00','0325 0945',36,M,W,203,511,AA,2
'11/24/21 0:00','11/24/21 0:00','0416 2000 0913 1814 0400',19,F,H,101,400,IC,7
'8/26/22 0:00','8/25/22 0:00',344,53,M,W,501,400,IC,3
'7/1/23 0:00','7/1/23 0:00','1822 0930',52,M,W,502,400,IC,3
'6/2/22 0:00','6/1/22 0:00','0100 1822 0922',31,F,B,501,400,IC,3
'5/2/23 0:00','4/18/23 0:00','1822 0344',33,M,B,502,400,AO,3
'7/5/20 0:00','7/5/20 0:00',416,50,F,H,102,400,IC,7
'4/1/20 0:00','4/1/20 0:00','0400 0913 1805 0906 1402 0411 1816 1270 1817',50,M,H,101,207,AO,2
'10/2/23 0:00','10/1/23 0:00',344,36,M,W,203,400,IC,3
'11/30/23 0:00','11/30/23 0:00','0325 0327',36,M,W,404,400,IC,4
